REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
SOUTHERN REGION,MANGOCHI,Aaron Davies Chester KATSONGA,CCP,#975D2A,530
SOUTHERN REGION,MANGOCHI,Mark KATSONGA PHIRI,PPM,#C00000,2525
SOUTHERN REGION,MANGOCHI,Atupele MULUZI,UDF,#FCF600,199185
SOUTHERN REGION,MANGOCHI,Prof. Peter MUTHARIKA,DPP,#00B0F0,57671
SOUTHERN REGION,MANGOCHI,George NNENSA,MAFUNDE,#948A54,895
SOUTHERN REGION,MANGOCHI,James Mbowe NYONDO,NASAF,#948A54,489
SOUTHERN REGION,MANGOCHI,Abusa Helen SINGH,UIP,#948A54,1342
SOUTHERN REGION,BALAKA,Dr. Joyce Hilda BANDA,PP,#FF6400,20933
SOUTHERN REGION,BALAKA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,2607
SOUTHERN REGION,BALAKA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,393
SOUTHERN REGION,BALAKA,Prof. John CHISI,UP,#948A54,288
SOUTHERN REGION,BALAKA,Friday Anderson JUMBE,NLP,#948A54,234
SOUTHERN REGION,BALAKA,Aaron Davies Chester KATSONGA,CCP,#975D2A,137
SOUTHERN REGION,BALAKA,Mark KATSONGA PHIRI,PPM,#C00000,574
SOUTHERN REGION,BALAKA,Atupele MULUZI,UDF,#FCF600,50224
SOUTHERN REGION,BALAKA,Prof. Peter MUTHARIKA,DPP,#00B0F0,56689
SOUTHERN REGION,BALAKA,George NNENSA,MAFUNDE,#948A54,486
SOUTHERN REGION,BALAKA,James Mbowe NYONDO,NASAF,#948A54,130
SOUTHERN REGION,BALAKA,Abusa Helen SINGH,UIP,#948A54,198
SOUTHERN REGION,MACHINGA,Dr. Joyce Hilda BANDA,PP,#FF6400,48766
SOUTHERN REGION,MACHINGA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,2691
SOUTHERN REGION,MACHINGA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,632
SOUTHERN REGION,MACHINGA,Prof. John CHISI,UP,#948A54,463
SOUTHERN REGION,MACHINGA,Friday Anderson JUMBE,NLP,#948A54,267
SOUTHERN REGION,MACHINGA,Aaron Davies Chester KATSONGA,CCP,#975D2A,219
SOUTHERN REGION,MACHINGA,Mark KATSONGA PHIRI,PPM,#C00000,1998
SOUTHERN REGION,MACHINGA,Atupele MULUZI,UDF,#FCF600,97335
SOUTHERN REGION,MACHINGA,Prof. Peter MUTHARIKA,DPP,#00B0F0,36104
SOUTHERN REGION,MACHINGA,George NNENSA,MAFUNDE,#948A54,431
SOUTHERN REGION,MACHINGA,James Mbowe NYONDO,NASAF,#948A54,206
SOUTHERN REGION,MACHINGA,Abusa Helen SINGH,UIP,#948A54,357
SOUTHERN REGION,ZOMBA,Dr. Joyce Hilda BANDA,PP,#FF6400,71835
SOUTHERN REGION,ZOMBA,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,9115
SOUTHERN REGION,ZOMBA,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,640
SOUTHERN REGION,ZOMBA,Prof. John CHISI,UP,#948A54,427
SOUTHERN REGION,ZOMBA,Friday Anderson JUMBE,NLP,#948A54,280
SOUTHERN REGION,ZOMBA,Aaron Davies Chester KATSONGA,CCP,#975D2A,231
SOUTHERN REGION,ZOMBA,Mark KATSONGA PHIRI,PPM,#C00000,635
SOUTHERN REGION,ZOMBA,Atupele MULUZI,UDF,#FCF600,50662
SOUTHERN REGION,ZOMBA,Prof. Peter MUTHARIKA,DPP,#00B0F0,122615
SOUTHERN REGION,ZOMBA,George NNENSA,MAFUNDE,#948A54,469
SOUTHERN REGION,ZOMBA,James Mbowe NYONDO,NASAF,#948A54,202
SOUTHERN REGION,ZOMBA,Abusa Helen SINGH,UIP,#948A54,523
SOUTHERN REGION,CHIRADZULU,Dr. Joyce Hilda BANDA,PP,#FF6400,9771
SOUTHERN REGION,CHIRADZULU,Dr. Lazarus McCarthy CHAKWERA,MCP,#00A200,1743
SOUTHERN REGION,CHIRADZULU,Kamuzu Walter CHIBAMBO,PETRA,#A5D203,299
SOUTHERN REGION,CHIRADZULU,Prof. John CHISI,UP,#948A54,226
SOUTHERN REGION,CHIRADZULU,Friday Anderson JUMBE,NLP,#948A54,1024
